Comment,Label
"""As usual overacting of Anushka ",cyberbullying
A classic example of what mental Illness looks like ,cyberbullying
A unprofessional model and a professional model,cyberbullying
Actresses are to copy and paste,cyberbullying
After seeing Janhvi Kapoor... I m also thinking that I can b a model nd do ramp walk????,cyberbullying
"Ah yes the entitled liberal that hates racism, makes racist jokes. Gotta love the irony",cyberbullying
All on drugs,cyberbullying
Amber Heard is a monster,cyberbullying
Amber Heard is retarded and insane,cyberbullying
Amber Heard shit,cyberbullying
"Amber is one dark women , how many men has she abused ?",cyberbullying
Amber might be the dumbest woman of all time.,cyberbullying
"Amber Turd should have gone to jail, for cutting of part of his finger. She is a psychopath that is a danger to society.",cyberbullying
Amber turds a huge liar. She really needed jail,cyberbullying
Amber ??on the bed she was very evil ?? I will never watch nothing she plays in with millions of other people ??????,cyberbullying
Amber's a psychopath,cyberbullying
Ambers acting is as embarrassing as her lawyers ??,cyberbullying
Americans arenít funny,cyberbullying
And now sheís fake crying on social media about deportations.,cyberbullying
And this guy complains about racism yet pulls this shit when he travels.,cyberbullying
Johannesburg is in South Africa.,
"Another gold digger,bitch!Next!",cyberbullying
another typical crazy woman,cyberbullying
Antisemitic,cyberbullying
Anushka has such a big mouth,cyberbullying
Arms are moving too much. Take this out. Why is Bollywood always trying to imitate futilities from the US?,cyberbullying
"Scotland, Johannesburg ??????????",
Average Woman in 2025??,cyberbullying
bad acting,cyberbullying
Basically she is a 'rape fetish' whore.,cyberbullying
Basically she is a slut ...she likes to get fu#?% by everyone wildly...shit things,cyberbullying
"Hilarious ??????  Johannesburg,  Scotland ??",
Basically she is a WHORE & she wants to be treated like a WHORE !,cyberbullying
Eyoooooo as for johannesburg ????????????????????????????,
Beauty with dustbin mindset,cyberbullying
Beauty with zero Brain ??,cyberbullying
beauty without brain ,cyberbullying
Because her dress is too much tight on her butt and she canít even walk properly ??,cyberbullying
Below Average girl ????,cyberbullying
Below comedy*,cyberbullying
Bombed hard,cyberbullying
Both are cringe as fuck. Just walk like a normal person ffs,cyberbullying
Kkkk Johannesburg,
Johannesburg...same bro same ??,
"Both are Neporats,,1 from India,,1 from USA,,both are plastic, ????",cyberbullying
Both are plastic. No importance,cyberbullying
Both are trash.,cyberbullying
Johannesburg ????????????,
Both of them are absolute muppets ???????,cyberbullying
Both the sisters r damn pathetic,cyberbullying
Brain dead woman,cyberbullying
Bro even her walk .,cyberbullying
Bro is complete idiot,cyberbullying
Bro looks creepy asf????,cyberbullying
Bro roasted her....????,cyberbullying
